id_devolucao;numero_nf_origem;data_devolucao;valor_devolvido;motivo_devolucao;responsavel;status_devolucao;observacao
DEV-00001;NF-103973;19/09/2025;49.86;Produto divergente;Cliente;Confirmada;
DEV-00002;NF-107124;09/04/2025;44,83;Cliente desistiu;Cliente;Cancelada;
DEV-00003;NF-105572;;55.22;Qualidade;Comercial;Pendente;devolução parcial
DEV-00004;NF-103921;20/03/2026;358.21;Produto divergente;Qualidade;Confirmada;aguardando NF de entrada
DEV-00005;NF-106725;22/11/2025;184.24;Quebra/Avaria;Cliente;Cancelada;aguardando NF de entrada
DEV-00006;NF-106286;04/04/2025;49.57;qualidade ;Expedição;Cancelada;aguardando NF de entrada
DEV-00007;NF-108618;12/03/2026;106.38;Qualidade;Não definido;Pendente;verificar se abate comissão
DEV-00008;NF-101577;16/09/2025;1.56;Preço/negociação;comercial;Confirmada;devolução parcial
DEV-00009;NF-105435;11/09/2025;R$ 796,07;Produto divergente;Comercial;Confirmada;verificar se abate comissão
DEV-00010;NF-104760;11/12/2025;7.22;erro pedido;comercial;Confirmada;verificar se abate comissão
DEV-00011;NF-111927;2025-12-27;191.18;Preço/negociação;Comercial;Confirmada;devolução parcial
DEV-00012;NF-108443;2025-03-14;131.79;Cliente desistiu;Logística;Confirmada;aguardando NF de entrada
DEV-00013;NF-105037;22/05/26;81.74;erro pedido;Qualidade;confirmada ;verificar se abate comissão
DEV-00014;NF-100300;;206.22;Quebra/Avaria;Logística;Confirmada;verificar se abate comissão
DEV-00015;NF-105804;08/12/2025;10.87;qualidade ;Logística;Confirmada;lançada no mês seguinte
DEV-00016;NF-100011;2026-03-04;384.70;qualidade ;Não definido;confirmada ;verificar se abate comissão
DEV-00017;NF-110166; 21/01/2026 ;131.94;qualidade ;Qualidade;confirmada ;
DEV-00018;NF-100251; 10/07/2025 ;20.17;Cliente desistiu;Qualidade;Cancelada;
DEV-00019;NF-103149;18/02/2025;193.31;Quebra/Avaria;Qualidade;Confirmada;aguardando NF de entrada
DEV-00020;NF-101992;17/06/2026;369.24;Quebra/Avaria;comercial;Pendente;devolução parcial
DEV-00021;NF-109299;07/03/26;47.06;qualidade ;Logística;Pendente;aguardando NF de entrada
DEV-00022;NF-104682;06-06-25;R$ 141,56;Produto divergente;Comercial;Confirmada;devolução parcial
DEV-00023;NF-108343;11/07/2025;10.64;Cliente desistiu;Comercial;confirmada ;devolução parcial
DEV-00024;NF-100564;19/06/2025;32,22;Preço/negociação;Logística;Cancelada;verificar se abate comissão
DEV-00025;NF-106870;18/09/2025;119.96;Erro de pedido;Expedição;Confirmada;aguardando NF de entrada
DEV-00026;NF-102468;;39.95;Erro de pedido;Logística;Confirmada;lançada no mês seguinte
