codigo_produto;produto;familia_produto;cmv_unitario;frete_estimado_unitario;imposto_estimado_percentual;margem_alvo_percentual;data_atualizacao_custo;observacao
P0001;Silicone 13;Acessórios; 5.02 ;38.63;10.57;28.56;03/11/25;
P0002;Kit Instalação 9;Acessórios;36.93;45.41;6.71;18.59;22/01/2025;custo estimado
P0003;Trilho Modelo 333;Ferragens;143.99;10.64;6.68%;21.48;17/04/2025;validar custo com compras
P0004;Vidro Temperado Incolor 8mm;Vidro Temperado;261.43;46.92;9.07;35.30;03/01/2026;validar custo com compras
P0005 ;Medição Técnica 9;Serviços;171.93;45.63;4.65;34.51;03/05/2025;
P0006;Box Reto 190cm;Box Banheiro;787.42;R$ 62,43;5.05;35.60;19/06/2026;validar custo com compras
P0007;Medição Técnica 7;Serviços;107.54; 29.27 ;8.89%;25.86;29-01-25;validar custo com compras
P0008;Vidro Temperado Incolor 12mm;Vidro Temperado;242.31;62.20;9.57%;23.22;18-09-25;
P0009;Box Reto 180cm;Box Banheiro;785.23; 9.59 ;;32.22;2025-05-21;validar custo com compras
P0010;Espelho Lapidado 4mm;Espelhos;209.36;22.63;9,44;21.26;29/09/2025;validar custo com compras
P0011;Box Articulado 190cm;Box Banheiro;;7.05;4.61;35.79;22/12/2025;
P0012;Box Articulado 200cm;Box Banheiro;571.73;67.07;5.45;37.21;20/02/2025;validar custo com compras
P0013;Medição Técnica 2;Serviços;479.37;49.12;7.18;34,46;03/05/2026;custo estimado
P0014;Vidro Laminado Incolor 8mm;Vidro Laminado;R$ 489,89;R$ 19,85;10.52%;19.61%;22-05-25;custo estimado
P0015;Box Canto 180cm;Box Banheiro;450.02;71.20;10.41;30.11%;2025-04-25;custo estimado
P0016;Vidro Laminado Verde 8mm;Vidro Laminado;202.83;50.58;;22.76%;2026-04-15;validar custo com compras
P0017;Suporte Modelo 873;Ferragens;141.98; 6.08 ;6.33;21.56;11/05/2025;custo importado do ERP
P0018;Dobradiça Modelo 952;Ferragens;57.48;59.67;7,74;30.01;17/03/2026;validar custo com compras
P0019;Roldana Modelo 304;Ferragens;98.01;71.90;8.23%;34.15;07/07/2025;custo estimado
P0020;Perfil Porta 4m;Perfis de Alumínio;129.26;40.83;7.60;23.35;30/07/2025;
P0021;Vidro Laminado Acústico 6mm;Vidro Laminado;367.23;10.00;5.05;29,57;24/01/2025;custo importado do ERP
P0022;Roldana Modelo 722;Ferragens;13.98;14,03;5.43;27.10;2025-08-12;custo estimado
P0023;Vidro Laminado Incolor 8mm;Vidro Laminado;380.34;39.47;9.09;21.48;06/12/2025;custo estimado
P0024;Frete Especial 7;Serviços;148.75;56.22;8.65;18.30;19/07/2025;validar custo com compras
P0025;Vidro Temperado Incolor 6mm;Vidro Temperado;193.25;25.60;12.04;26.16;08/10/2025;validar custo com compras
P0026;Lapidação 2;Serviços;54.59;7.46;;37.55;00/01/2026;validar custo com compras
P0027;Perfil Porta 6m;Perfis de Alumínio;172,38;31.43;6.36;23.25%;18/02/2025;validar custo com compras
P0028;Perfil H 2m;Perfis de Alumínio;128.72;R$ 3,76;5.11;34,29;26/09/2025;validar custo com compras
P0029;Suporte Modelo 629;Ferragens;105.91;R$ 73,19;7.79;23.84%;19/05/2025;custo importado do ERP
P0030;Vidro Laminado Incolor 10mm;Vidro Laminado;416.39;44.14;6.83;30.30;07/02/2026;custo importado do ERP
P0031;Lapidação 3;Serviços;277.92;64.20;12,52;29.07;16/07/25;custo estimado
