id_pedido;id_item;data_pedido;data_faturamento;codigo_cliente;cliente;grupo_cliente;vendedor_id;vendedor;codigo_produto;produto;familia_produto;quantidade;valor_unitario;valor_bruto;desconto_percentual;desconto_valor;valor_liquido_nf;status_pedido;numero_nf;estabelecimento;canal_venda;tipo_operacao;fonte_sistema;observacao
PED-2025-00001;ITEM-00001;22/04/2025;04/05/2025;C0002;Beta Construcões;Consumidor Final;V003;CARLA MENDES;P0149;Espelho Bronze 5mm;Espelhos;1;233.32;233.32;16.16;37.71;195.61;Faturado ;NF-100001;D-Glass;E-commerce;Reposição;ConstruShow;pedido refeito
PED-2026-00002;ITEM-00002;16/05/2026;28/05/2026;C0039;Nobre Engenharia Ltda;Revenda;V002;Bruno L.;P0022;Roldana Modelo 722;Ferragens;3;23.68;71.04;9.89; 7.03 ;64,01;Dev. Parcial;NF-100002;03-DGlass;E-commerce;Venda;Importação CSV;verificar comissão
PED-2025-00003;ITEM-00003;13/07/25;sem data;C0014;Nova Casa;Consumidor Final;V004;Diego R.;P0138;Perfil Porta 6m;Perfis de Alumínio;9;61.63;554.70;11.10%;61.57;493.13;Devolvido Parcial;NF-100003;D-Glass;WhatsApp;Venda;Planilha manual;cliente pediu urgência
PED-2026-00004;ITEM-00004;2026-05-03;2026-05-04;C0010;Jardim Vidros;Construtora;V001; Ana Souza ;P0154;Instalação 4;Serviços; 5 ;350.61;1753,05;14.32%;250.95;1502,10;Dev. Parcial;NF-100004;1-NewGlass;WhatsApp;Venda;Construshow;devolução em análise
PED-2025-00005;ITEM-00005;19/05/25; 31/05/2025 ;C0025;Ypê Construções;Consumidor Final;V002;Bruno Lima;P0006;Box Reto 190cm;Box Banheiro;4;1307.22;5228.89;5.98;312.67;4916.22;Faturado ;NF-100005;D-Glass;Loja;Venda;Planilha manual;verificar comissão
PED-2026-00006;ITEM-00006;26/05/2026;07/06/2026;C0030; DGlass Parceiros ;Franquia;V002;B. Lima;P0045;Espelho Lapidado 6mm;Espelhos;1,0;479.04;479,04;91.85;440.02;39.02;Bonificação;NF-100006;D-Glass;WhatsApp;Bonificação;Construshow;verificar comissão
PED-2025-00007;ITEM-00007;23-04-25;05/05/2025;C0005;ESPAÇO GLASS;Revenda;V005;ELAINE COSTA;P0142;Instalação 3;Serviços;1;893.50;893.50;;R$ 105,95;787.55;Faturado ;NF-100007;D-Glass;WhatsApp;Venda;Importação CSV;devolução em análise
PED-2025-00008;ITEM-00008;30/09/2025;2025-10-06;C0008;Habitat Design;Consumidor Final;V001;Ana S.;P0101;Perfil Box 3m;Perfis de Alumínio;1;386.71;386.71;14.27;55.19;331.52;devolvido parcial;NF-100008;03 - DGlass;Representante;Venda;ERP;
PED-2025-00009;ITEM-00009;2025-06-10;16/06/2025;C0021;União Obras;Construtora;V001; Ana Souza ;P0022;Roldana Modelo 722;Ferragens;4,0;R$ 33,07;132.30;18.03;R$ 23,85;108.45;FATURADO;NF-100009;01 - New Glass;E-commerce;Venda futura;Construshow;
PED-2025-00010;ITEM-00010;09-05-25;12/05/2025;C0007; Gran Lux ;Franquia;V006;F. Alves;P0058;Roldana Modelo 482;Ferragens;1;165.20;R$ 165,20;6.48%;10.70;154.50;faturado;NF-100010;D-Glass;Representante;Venda;ConstruShow;
PED-2025-00011;ITEM-00011;27/11/2025;2025-12-08;C0017;Quality Box;Construtora;V002;Bruno L.;P0025;Vidro Temperado Incolor 6mm;Vidro Temperado;5;289.59;1447.93;10.01%;144.93; 1303.00 ;FATURADO;NF-100011;1-NewGlass;Venda Interna;Venda;Planilha manual;pedido refeito
PED-2025-00012;ITEM-00012;27/10/2025;07-11-25;C0028;Barigui Obras;Construtora;V007;G. Nunes;P0008;Vidro Temperado Incolor 12mm;Vidro Temperado;1;387.14;387.14;8.39;32.50;354.64;FATURADO;NF-100012;02 - Link Glass;Key Account;Venda;ERP;
PED-2025-00013;ITEM-00013;2025-05-16;2025-05-21;C0027;Araucária Vidros Ltda;Revenda;V001;A. Souza;P0060;Perfil H 4m;Perfis de Alumínio;12; 271.09 ;R$ 3.253,07;15.04%;489.39;2763.68;Faturado ;NF-100013;1-NewGlass;Representante;Venda;Construshow;cliente pediu urgência
PED-2025-00014;ITEM-00014;06-10-25;09-10-25;C0014;Nova Casa;Consumidor Final;V006;Felipe A.;P0062;Espelho Prata 5mm;Espelhos;1;98.36;98.36;8.68; 8.54 ;89.82;devolvido parcial;NF-100014;03 - DGlass;Key Account;Venda;Planilha manual;cliente pediu urgência
PED-2025-00015;ITEM-00015;18/05/2025;28/05/2025;C0005;Espaco Glass;Revenda;V003;Carla M.;P0105;Box Reto 190cm;Box Banheiro;3,0;774.78;2324.34;11.74;272.89;2051.45;Dev. Total;NF-100015;1-NewGlass;Loja;Venda futura;Planilha manual;pedido refeito
PED-2025-00016;ITEM-00016;2025-12-22;03/01/2026;C0001;ALFA VIDROS;Revenda;V002;Bruno Lima;P0158;Frete Especial 1;Serviços;2;556.09;1112.18;90,73;1009.08;103.10;BONIFICACAO;NF-100016;D-Glass;WhatsApp;Bonificação;ConstruShow;frete negociado
PED-2025-00017;ITEM-00017;15/03/2025;26/03/2025;C0018;Rossi Engenharia;Consumidor Final;V006;F. Alves;P0015;Box Canto 180cm;Box Banheiro; 2 ;573.31;1146.62;14.15;162.23;984.39;Faturado;NF-100017;01 - New Glass;Venda Interna;Reposição;Construshow;cliente pediu urgência
PED-2026-00018;ITEM-00018;27/03/26;29/03/2026;C0027;Araucária Vidros;Revenda;V001;A. Souza;P0043;Parafuso 2;Acessórios;N/D;25.26;101.05;19,40;19.61;81.44;Faturado;NF-100018;02 - Link Glass;E-commerce;Venda;ConstruShow;frete negociado
PED-2025-00019;ITEM-00019;24/12/2025;04/01/2026;C0003;Casa Sul Esquadrias Ltda;Construtora;V004;D. Rocha;P0039;Suporte Modelo 845;Ferragens;2;59.17;118.34;4.56;R$ 5,40; 112.94 ;devolvido total;NF-100019;03 - DGlass;Loja;Venda;ConstruShow;devolução em análise
PED-2026-00020;ITEM-00020;2026-06-20;2026-07-01;C0021;União Obras Ltda;Construtora;V003;Carla M.;P0156;Box Canto 180cm;Box Banheiro;2; 1205.55 ;2411.09;9.66;232.85;2178.24;faturado;NF-100020;1-NewGlass;Loja;Reposição;Planilha manual;
PED-2025-00021;ITEM-00021;11/04/2025; 19/04/2025 ;C0011;KAPPA DECOR;Consumidor Final;V002;Bruno Lima;P0077;Vidro Laminado Incolor 10mm;Vidro Laminado;2;443.68;887.36;13.59;120.58;766.78;faturado;NF-100021;1-NewGlass;Representante;Reposição;ConstruShow;cliente pediu urgência
PED-2025-00022;ITEM-00022; 11/12/2025 ;22-12-25;C0038;Master Glass;Revenda;V005;Elaine Costa;P0016;Vidro Laminado Verde 8mm;Vidro Laminado;2,0;301.26;602,51;7.20;R$ 43,40;559.11;Faturado;NF-100022;01 - New Glass;E-commerce;Venda;ERP;pedido refeito
PED-2025-00023;ITEM-00023;26-04-25;08/05/2025;C0028;Barigui Obras Ltda;Construtora;V004;D. Rocha;P0113;Perfil Box 6m;Perfis de Alumínio;11;172.36;1895.94;7.02;133.15;1762,79;faturado;NF-100023;03-DGlass;Representante;Venda futura;Planilha manual;
PED-2025-00024;ITEM-00024;10/07/2025;10/07/2025;C0005;Espaço Glass Ltda;Revenda;V004;D. Rocha;P0014;Vidro Laminado Incolor 8mm;Vidro Laminado;1;704.40;704.40;11.52;81.13;623.27;faturado;NF-100024;03 - DGlass;E-commerce;Venda;Importação CSV;pedido refeito
